NEW_EVENT_TAG,Mistrzostwa Śląska,05-09-2020,5
Rafał Rubacha,Seraphon,5/0/0
Rafał Kosiński,Flesh Eater Courts,4/0/1
Dante,Slaves To Darkness,4/0/1
Bartosz Orlof,Fyreslayers,4/0/1
Zbyszek Laif Rozenkranz,Orruks,4/0/1
Tomasz Malinowski,Legion of Sacrament,3/0/2
Aleksander Georgas,Idoneth Deepkin,3/0/2
Mateusz Kołakowski,Ossiarch Bonereapers,3/0/2
Michał Żułtaszek,Hosts of Slaanesh,3/0/2
Marcin Kocoń,Cities of Sigmar,3/0/2
Paweł Kubiak „ zeznicek”,Cities of Sigmar,2/1/2
Dariusz Wilkosz,Seraphon,2/1/2
Marcin Bebłot,Ossiarch Bonereapers,3/0/2
Piotr Miera,Ogor Mawtribes,3/0/2
Marcin Młynarczyk,Stormcast Eternals,2/0/3
Jacek Lasota,Cities of Sigmar,2/0/3
Damian Żułtaszek,Flesh Eater Courts,2/0/3
Mateusz Wasek Wasek,Fyreslayers,2/0/3
Jan Młynarczyk,Ogor Mawtribes,2/0/3
Ewa Lasota,Beasts of Chaos,1/1/3
Alek Juszczyk,Ogor Mawtribes,2/0/3
Paulina Bebłot,Seraphon,1/1/3
Paweł Szymonek,Orruks,1/0/4
Emilia Ploch,Sylvaneth,1/0/4
Paweł Bątorek,Legion of Blood,1/0/4
MayItBe,Sylvaneth,0/0/5
